ENSG	name	logFC	P.Value
ENSG00000099338	CATSPERG	-1.31e-01	1.90e-01
ENSG00000117461	PIK3R3	-1.51e-01	1.91e-01
ENSG00000105963	ADAP1	 2.22e-01	1.91e-01
ENSG00000140367	UBE2Q2	 1.67e-01	1.91e-01
ENSG00000173581	CCDC106	 1.07e-01	1.91e-01
ENSG00000140848	CPNE2	 7.66e-02	1.91e-01
ENSG00000163374	YY1AP1	 2.89e-02	1.91e-01
ENSG00000123106	CCDC91	 6.49e-02	1.91e-01
ENSG00000101843	PSMD10	 5.90e-02	1.91e-01
ENSG00000182310	SPACA6	-1.06e-01	1.91e-01
ENSG00000133135	RNF128	 1.53e-01	1.91e-01
ENSG00000174130	TLR6	 1.55e-01	1.91e-01
ENSG00000111775	COX6A1	-7.73e-02	1.91e-01
ENSG00000177700	POLR2L	 9.75e-02	1.91e-01
ENSG00000182158	CREB3L2	-1.08e-01	1.91e-01
ENSG00000169567	HINT1	 8.02e-02	1.91e-01
ENSG00000012211	PRICKLE3	 1.13e-01	1.91e-01
ENSG00000163638	ADAMTS9	 1.61e-01	1.91e-01
ENSG00000065802	ASB1	-5.06e-02	1.91e-01
ENSG00000170027	YWHAG	 4.94e-02	1.91e-01
ENSG00000111664	GNB3	 2.26e-01	1.91e-01
ENSG00000100711	ZFYVE21	-5.02e-02	1.91e-01
ENSG00000186001	LRCH3	-6.28e-02	1.91e-01
ENSG00000139218	SCAF11	 4.48e-02	1.91e-01
ENSG00000108669	CYTH1	-6.82e-02	1.91e-01
ENSG00000004866	ST7	-7.53e-02	1.91e-01
ENSG00000178093	TSSK6	 1.51e-01	1.91e-01
ENSG00000102931	ARL2BP	 6.43e-02	1.91e-01
ENSG00000188766	SPRED3	 2.77e-01	1.91e-01
ENSG00000172465	TCEAL1	 7.99e-02	1.91e-01
ENSG00000159259	CHAF1B	 2.23e-01	1.91e-01
ENSG00000155011	DKK2	-3.18e-01	1.91e-01
ENSG00000262209	PCDHGB3	-1.12e-01	1.92e-01
ENSG00000138078	PREPL	-1.09e-01	1.92e-01
ENSG00000119574	ZBTB45	 7.77e-02	1.92e-01
ENSG00000075415	SLC25A3	-7.75e-02	1.92e-01
ENSG00000091490	SEL1L3	-9.90e-02	1.92e-01
ENSG00000258405	ZNF578	-1.09e-01	1.92e-01
ENSG00000103769	RAB11A	 4.55e-02	1.92e-01
ENSG00000143727	ACP1	 5.23e-02	1.92e-01
ENSG00000165733	BMS1	-3.55e-02	1.92e-01
ENSG00000055950	MRPL43	 6.08e-02	1.92e-01
ENSG00000058453	CROCC	-1.35e-01	1.92e-01
ENSG00000126953	TIMM8A	-1.24e-01	1.92e-01
ENSG00000250021	C15orf38-AP3S2	 8.86e-02	1.92e-01
ENSG00000160999	SH2B2	 1.18e-01	1.92e-01
ENSG00000278615	C11orf98	 8.48e-02	1.92e-01
ENSG00000136867	SLC31A2	 1.19e-01	1.92e-01
ENSG00000010072	SPRTN	 5.91e-02	1.92e-01
ENSG00000168438	CDC40	-4.29e-02	1.92e-01
ENSG00000035720	STAP1	 4.12e-01	1.92e-01
ENSG00000198700	IPO9	-3.57e-02	1.92e-01
ENSG00000101335	MYL9	-2.30e-01	1.93e-01
ENSG00000163145	C1QTNF7	-2.61e-01	1.93e-01
ENSG00000169989	TIGD4	 5.06e-01	1.93e-01
ENSG00000186462	NAP1L2	 1.59e-01	1.93e-01
ENSG00000198478	SH3BGRL2	-1.18e-01	1.93e-01
ENSG00000138207	RBP4	-5.97e-01	1.93e-01
ENSG00000182700	IGIP	-5.07e-02	1.93e-01
ENSG00000168778	TCTN2	-1.12e-01	1.93e-01
ENSG00000158169	FANCC	-1.13e-01	1.93e-01
ENSG00000010319	SEMA3G	 1.42e-01	1.93e-01
ENSG00000266302	RP11-219A15.1	-9.81e-01	1.93e-01
ENSG00000122121	XPNPEP2	-2.18e-01	1.93e-01
ENSG00000085224	ATRX	-3.78e-02	1.93e-01
ENSG00000113083	LOX	 2.15e-01	1.93e-01
ENSG00000120708	TGFBI	-1.66e-01	1.93e-01
ENSG00000152952	PLOD2	-1.16e-01	1.93e-01
ENSG00000198648	STK39	 1.09e-01	1.93e-01
ENSG00000154803	FLCN	-9.06e-02	1.93e-01
ENSG00000113441	LNPEP	-6.98e-02	1.93e-01
ENSG00000165379	LRFN5	-2.66e-01	1.93e-01
ENSG00000115808	STRN	 8.59e-02	1.93e-01
ENSG00000104967	NOVA2	-1.27e-01	1.93e-01
ENSG00000164237	CMBL	-1.99e-01	1.93e-01
ENSG00000166482	MFAP4	-1.71e-01	1.93e-01
ENSG00000185201	IFITM2	 9.97e-02	1.93e-01
ENSG00000151617	EDNRA	-1.65e-01	1.93e-01
ENSG00000010810	FYN	-9.09e-02	1.93e-01
ENSG00000211584	SLC48A1	 5.61e-02	1.94e-01
ENSG00000154277	UCHL1	 3.31e-01	1.94e-01
ENSG00000172954	LCLAT1	 4.70e-02	1.94e-01
ENSG00000143110	C1orf162	-9.16e-02	1.94e-01
ENSG00000072958	AP1M1	 4.76e-02	1.94e-01
ENSG00000198865	CCDC152	-1.66e-01	1.94e-01
ENSG00000172292	CERS6	 1.19e-01	1.94e-01
ENSG00000107651	SEC23IP	 3.64e-02	1.94e-01
ENSG00000100987	VSX1	-2.85e-01	1.94e-01
ENSG00000154493	C10orf90	-2.99e-01	1.94e-01
ENSG00000188026	RILPL1	-6.29e-02	1.94e-01
ENSG00000140153	WDR20	 4.29e-02	1.94e-01
ENSG00000136950	ARPC5L	 8.37e-02	1.94e-01
ENSG00000008294	SPAG9	 6.47e-02	1.94e-01
ENSG00000115604	IL18R1	 1.52e-01	1.94e-01
ENSG00000160307	S100B	-4.61e-01	1.94e-01
ENSG00000005801	ZNF195	-4.96e-02	1.94e-01
ENSG00000128284	APOL3	-8.70e-02	1.94e-01
ENSG00000176783	RUFY1	 5.08e-02	1.95e-01
ENSG00000116329	OPRD1	 5.34e-01	1.95e-01
ENSG00000038274	MAT2B	-5.21e-02	1.95e-01
ENSG00000117697	NSL1	-5.46e-02	1.95e-01
ENSG00000204410	MSH5	-1.26e-01	1.95e-01
ENSG00000107758	PPP3CB	 7.08e-02	1.95e-01
ENSG00000196363	WDR5	-5.01e-02	1.95e-01
ENSG00000196628	TCF4	-7.89e-02	1.95e-01
ENSG00000108591	DRG2	 4.95e-02	1.95e-01
ENSG00000171798	KNDC1	 4.64e-01	1.95e-01
ENSG00000168743	NPNT	-2.49e-01	1.95e-01
ENSG00000138741	TRPC3	-1.57e-01	1.95e-01
ENSG00000204220	PFDN6	 6.32e-02	1.95e-01
ENSG00000168612	ZSWIM1	 8.04e-02	1.95e-01
ENSG00000255639	RP11-234B24.6	-3.77e-01	1.95e-01
ENSG00000012174	MBTPS2	-8.38e-02	1.95e-01
ENSG00000186416	NKRF	 6.73e-02	1.95e-01
ENSG00000165192	ASB11	-1.65e-01	1.95e-01
ENSG00000178127	NDUFV2	-7.05e-02	1.96e-01
ENSG00000183662	FAM19A1	 2.51e-01	1.96e-01
ENSG00000114988	LMAN2L	-9.35e-02	1.96e-01
ENSG00000188981	MSANTD1	-2.04e-01	1.96e-01
ENSG00000271321	CTAGE6	-5.59e-01	1.96e-01
ENSG00000185024	BRF1	-6.65e-02	1.96e-01
ENSG00000162104	ADCY9	-7.71e-02	1.96e-01
ENSG00000204595	DPRX	-3.11e-01	1.96e-01
ENSG00000219545	UMAD1	 1.14e-01	1.96e-01
ENSG00000134602	STK26	-1.44e-01	1.96e-01
ENSG00000237440	ZNF737	-1.02e-01	1.96e-01
ENSG00000198771	RCSD1	-1.03e-01	1.96e-01
ENSG00000170276	HSPB2	 1.10e-01	1.96e-01
ENSG00000177551	NHLH2	-4.77e-01	1.96e-01
ENSG00000065150	IPO5	 4.28e-02	1.96e-01
ENSG00000183513	COA5	-3.97e-02	1.96e-01
ENSG00000156206	CFAP161	-2.33e-01	1.97e-01
ENSG00000183690	EFHC2	-2.34e-01	1.97e-01
ENSG00000128534	LSM8	-4.18e-02	1.97e-01
ENSG00000128973	CLN6	 6.51e-02	1.97e-01
ENSG00000186448	ZNF197	-5.31e-02	1.97e-01
ENSG00000051108	HERPUD1	-6.53e-02	1.97e-01
ENSG00000177548	RABEP2	-1.06e-01	1.97e-01
ENSG00000187186	RP11-195F19.5	 1.20e-01	1.97e-01
ENSG00000256206	RP11-140L24.4	 3.73e-01	1.97e-01
ENSG00000143942	CHAC2	 1.27e-01	1.97e-01
ENSG00000180616	SSTR2	 3.04e-01	1.97e-01
ENSG00000110218	PANX1	 2.86e-01	1.97e-01
ENSG00000173926	MARCH3	-1.82e-01	1.97e-01
ENSG00000135205	CCDC146	-1.09e-01	1.97e-01
ENSG00000183793	NPIPA5	-3.93e-01	1.97e-01
ENSG00000115524	SF3B1	-3.35e-02	1.97e-01
ENSG00000066117	SMARCD1	 4.75e-02	1.98e-01
ENSG00000164199	ADGRV1	-6.42e-01	1.98e-01
ENSG00000145216	FIP1L1	 4.15e-02	1.98e-01
ENSG00000163348	PYGO2	 5.79e-02	1.98e-01
ENSG00000081148	IMPG2	 1.15e-01	1.98e-01
ENSG00000101079	NDRG3	-7.78e-02	1.98e-01
ENSG00000160781	PAQR6	 1.94e-01	1.98e-01
ENSG00000162927	PUS10	-7.83e-02	1.98e-01
ENSG00000122390	NAA60	 8.25e-02	1.98e-01
ENSG00000186575	NF2	 5.15e-02	1.98e-01
ENSG00000181409	AATK	 1.65e-01	1.98e-01
ENSG00000120457	KCNJ5	-2.21e-01	1.98e-01
ENSG00000197724	PHF2	 4.73e-02	1.98e-01
ENSG00000107077	KDM4C	 4.96e-02	1.98e-01
ENSG00000170448	NFXL1	-5.07e-02	1.98e-01
ENSG00000105701	FKBP8	 5.99e-02	1.98e-01
ENSG00000240654	C1QTNF9	-1.83e-01	1.98e-01
ENSG00000204923	FBXO48	-8.94e-02	1.98e-01
ENSG00000268975	MIA-RAB4B	 2.86e-01	1.98e-01
ENSG00000177595	PIDD1	-1.19e-01	1.98e-01
ENSG00000138378	STAT4	-1.18e-01	1.99e-01
ENSG00000164808	SPIDR	-6.02e-02	1.99e-01
ENSG00000123094	RASSF8	 7.76e-02	1.99e-01
ENSG00000157349	DDX19B	 4.94e-02	1.99e-01
ENSG00000170502	NUDT9	-6.04e-02	1.99e-01
ENSG00000011465	DCN	-1.51e-01	1.99e-01
ENSG00000169020	ATP5I	-7.54e-02	1.99e-01
ENSG00000108511	HOXB6	-1.41e-01	1.99e-01
ENSG00000085117	CD82	-1.36e-01	1.99e-01
ENSG00000166821	PEX11A	-1.16e-01	1.99e-01
ENSG00000104774	MAN2B1	 1.01e-01	1.99e-01
ENSG00000105778	AVL9	-4.79e-02	1.99e-01
ENSG00000104059	FAM189A1	 3.59e-01	1.99e-01
ENSG00000285043	CTD-2515O10.6	 1.15e-01	1.99e-01
ENSG00000172361	CFAP53	 1.40e-01	1.99e-01
ENSG00000162630	B3GALT2	-2.48e-01	1.99e-01
ENSG00000010322	NISCH	-7.31e-02	1.99e-01
ENSG00000141510	TP53	 9.08e-02	1.99e-01
ENSG00000113273	ARSB	 1.06e-01	1.99e-01
ENSG00000149654	CDH22	 4.10e-01	1.99e-01
ENSG00000106355	LSM5	-7.55e-02	1.99e-01
ENSG00000169871	TRIM56	-9.72e-02	1.99e-01
ENSG00000113580	NR3C1	-4.97e-02	2.00e-01
ENSG00000213626	LBH	-1.15e-01	2.00e-01
ENSG00000138092	CENPO	 9.08e-02	2.00e-01
ENSG00000075035	WSCD2	 2.86e-01	2.00e-01
ENSG00000173875	ZNF791	-6.08e-02	2.00e-01
ENSG00000184381	PLA2G6	-6.75e-02	2.00e-01
ENSG00000184220	CMSS1	 1.01e-01	2.00e-01
ENSG00000138606	SHF	-8.61e-02	2.00e-01
ENSG00000111684	LPCAT3	 1.22e-01	2.00e-01
ENSG00000161011	SQSTM1	 7.77e-02	2.00e-01
ENSG00000103174	NAGPA	-7.52e-02	2.00e-01
ENSG00000104221	BRF2	 7.68e-02	2.00e-01
ENSG00000179195	ZNF664	 4.01e-02	2.00e-01
ENSG00000115598	IL1RL2	 2.11e-01	2.01e-01
ENSG00000134339	SAA2	 7.07e-01	2.01e-01
ENSG00000182220	ATP6AP2	-5.57e-02	2.01e-01
ENSG00000160049	DFFA	-4.49e-02	2.01e-01
ENSG00000248235	AC037459.4	 4.41e-01	2.01e-01
ENSG00000066777	ARFGEF1	-2.90e-02	2.01e-01
ENSG00000162706	CADM3	-1.73e-01	2.01e-01
ENSG00000051128	HOMER3	 1.67e-01	2.01e-01
ENSG00000205629	LCMT1	 4.59e-02	2.01e-01
ENSG00000125637	PSD4	 1.31e-01	2.01e-01
ENSG00000125247	TMTC4	-1.07e-01	2.01e-01
ENSG00000130844	ZNF331	 9.10e-02	2.01e-01
ENSG00000205758	CRYZL1	-4.22e-02	2.01e-01
ENSG00000100346	CACNA1I	 2.91e-01	2.01e-01
ENSG00000122861	PLAU	 1.82e-01	2.02e-01
ENSG00000110455	ACCS	-1.16e-01	2.02e-01
ENSG00000165646	SLC18A2	 2.38e-01	2.02e-01
ENSG00000124107	SLPI	 4.07e-01	2.02e-01
ENSG00000187601	MAGEH1	 7.36e-02	2.02e-01
ENSG00000177324	BEND2	 3.83e-01	2.02e-01
ENSG00000143469	SYT14	-4.36e-01	2.02e-01
ENSG00000095261	PSMD5	 7.93e-02	2.02e-01
ENSG00000020633	RUNX3	 2.06e-01	2.02e-01
ENSG00000172336	POP7	 7.17e-02	2.02e-01
ENSG00000165091	TMC1	-2.35e-01	2.02e-01
ENSG00000167526	RPL13	 5.25e-02	2.02e-01
ENSG00000241399	CD302	-1.26e-01	2.02e-01
ENSG00000159199	ATP5G1	-1.33e-01	2.02e-01
ENSG00000065328	MCM10	 1.92e-01	2.02e-01
ENSG00000103056	SMPD3	-2.28e-01	2.02e-01
ENSG00000126945	HNRNPH2	 4.88e-02	2.02e-01
ENSG00000198833	UBE2J1	 4.50e-02	2.03e-01
ENSG00000130958	SLC35D2	-7.78e-02	2.03e-01
ENSG00000213462	ERV3-1	-1.24e-01	2.03e-01
ENSG00000087302	C14orf166	-5.05e-02	2.03e-01
ENSG00000169129	AFAP1L2	-1.20e-01	2.03e-01
ENSG00000157110	RBPMS	-1.97e-01	2.03e-01
ENSG00000055955	ITIH4	 1.69e-01	2.03e-01
ENSG00000143924	EML4	 7.68e-02	2.03e-01
ENSG00000164105	SAP30	-8.14e-02	2.03e-01
ENSG00000285292	RP4-548D19.5	 9.17e-02	2.03e-01
ENSG00000150893	FREM2	 1.22e-01	2.03e-01
ENSG00000115286	NDUFS7	-1.13e-01	2.03e-01
ENSG00000106868	SUSD1	-1.35e-01	2.03e-01
ENSG00000110063	DCPS	 6.28e-02	2.03e-01
ENSG00000156299	TIAM1	-1.70e-01	2.03e-01
ENSG00000107290	SETX	 4.68e-02	2.03e-01
ENSG00000165995	CACNB2	-1.34e-01	2.03e-01
ENSG00000135631	RAB11FIP5	 6.66e-02	2.03e-01
ENSG00000133401	PDZD2	-1.13e-01	2.03e-01
ENSG00000197713	RPE	-4.70e-02	2.03e-01
ENSG00000168701	TMEM208	 5.83e-02	2.04e-01
ENSG00000127325	BEST3	-1.46e-01	2.04e-01
ENSG00000009844	VTA1	 5.69e-02	2.04e-01
ENSG00000198231	DDX42	 3.80e-02	2.04e-01
ENSG00000166226	CCT2	 6.17e-02	2.04e-01
ENSG00000143970	ASXL2	-5.61e-02	2.04e-01
ENSG00000001461	NIPAL3	-1.18e-01	2.04e-01
ENSG00000168591	TMUB2	 5.15e-02	2.04e-01
ENSG00000173366	RP11-330H6.5	-8.31e-01	2.04e-01
ENSG00000070371	CLTCL1	 7.51e-02	2.04e-01
ENSG00000170290	SLN	-1.41e-01	2.04e-01
ENSG00000206418	RAB12	 7.82e-02	2.04e-01
ENSG00000101493	ZNF516	 6.05e-02	2.04e-01
ENSG00000034533	ASTE1	 6.46e-02	2.04e-01
ENSG00000129187	DCTD	 6.64e-02	2.05e-01
ENSG00000171720	HDAC3	 4.50e-02	2.05e-01
ENSG00000277117	CH507-9B2.1	 5.29e-01	2.05e-01
ENSG00000161243	FBXO27	 2.70e-01	2.05e-01
ENSG00000144233	AMMECR1L	 4.50e-02	2.05e-01
ENSG00000090263	MRPS33	-7.92e-02	2.05e-01
ENSG00000166925	TSC22D4	 6.98e-02	2.05e-01
ENSG00000168028	RPSA	 7.65e-02	2.05e-01
ENSG00000142856	ITGB3BP	-1.32e-01	2.05e-01
ENSG00000146233	CYP39A1	-2.21e-01	2.05e-01
ENSG00000136514	RTP4	-1.35e-01	2.05e-01
ENSG00000198915	RASGEF1A	 2.11e-01	2.05e-01
ENSG00000172458	IL17D	-1.74e-01	2.06e-01
ENSG00000171530	TBCA	 5.70e-02	2.06e-01
ENSG00000172081	MOB3A	 6.04e-02	2.06e-01
ENSG00000164066	INTU	-7.41e-02	2.06e-01
ENSG00000104889	RNASEH2A	 8.47e-02	2.06e-01
ENSG00000178209	PLEC	-1.07e-01	2.06e-01
ENSG00000244482	LILRA6	 2.06e-01	2.06e-01
ENSG00000137504	CREBZF	-5.88e-02	2.06e-01
ENSG00000146221	TCTE1	 4.11e-01	2.06e-01
ENSG00000124177	CHD6	-5.59e-02	2.06e-01
ENSG00000115827	DCAF17	-5.04e-02	2.06e-01
ENSG00000160588	MPZL3	 1.39e-01	2.06e-01
ENSG00000106526	ACTR3C	-2.39e-01	2.06e-01
ENSG00000167113	COQ4	-4.08e-02	2.06e-01
ENSG00000096060	FKBP5	-2.26e-01	2.07e-01
ENSG00000100522	GNPNAT1	 6.67e-02	2.07e-01
ENSG00000100479	POLE2	 1.16e-01	2.07e-01
ENSG00000037241	RPL26L1	 6.64e-02	2.07e-01
ENSG00000125266	EFNB2	 8.27e-02	2.07e-01
ENSG00000134489	HRH4	-2.56e-01	2.07e-01
ENSG00000168907	PLA2G4F	 1.15e-01	2.07e-01
ENSG00000114767	RRP9	 7.21e-02	2.07e-01
ENSG00000110786	PTPN5	-4.00e-01	2.07e-01
ENSG00000105792	CFAP69	-1.06e-01	2.07e-01
ENSG00000172789	HOXC5	 2.08e-01	2.07e-01
ENSG00000150459	SAP18	 4.13e-02	2.07e-01
ENSG00000152443	ZNF776	-5.29e-02	2.07e-01
ENSG00000117593	DARS2	-7.57e-02	2.07e-01
ENSG00000078687	TNRC6C	-7.40e-02	2.07e-01
ENSG00000187866	FAM122A	 4.02e-02	2.07e-01
ENSG00000072364	AFF4	 6.13e-02	2.08e-01
ENSG00000153495	TEX29	 2.24e-01	2.08e-01
ENSG00000239389	PCDHA13	-2.72e-01	2.08e-01
ENSG00000173083	HPSE	-2.29e-01	2.08e-01
ENSG00000100307	CBX7	 5.60e-02	2.08e-01
ENSG00000155660	PDIA4	 8.04e-02	2.08e-01
ENSG00000185156	MFSD6L	 2.63e-01	2.08e-01
ENSG00000080031	PTPRH	 2.40e-01	2.08e-01
ENSG00000145246	ATP10D	-9.85e-02	2.08e-01
ENSG00000079393	DUSP13	 9.78e-02	2.08e-01
ENSG00000024048	UBR2	-4.13e-02	2.08e-01
ENSG00000141698	NT5C3B	 6.63e-02	2.08e-01
ENSG00000198301	SDAD1	 4.23e-02	2.08e-01
ENSG00000183831	ANKRD45	 2.79e-01	2.08e-01
ENSG00000181458	TMEM45A	-1.70e-01	2.08e-01
ENSG00000120697	ALG5	 6.73e-02	2.08e-01
ENSG00000182324	KCNJ14	 2.27e-01	2.09e-01
ENSG00000153443	UBALD1	 7.95e-02	2.09e-01
ENSG00000188542	DUSP28	 8.38e-02	2.09e-01
ENSG00000117139	KDM5B	-7.06e-02	2.09e-01
ENSG00000154734	ADAMTS1	 1.67e-01	2.09e-01
ENSG00000205643	CDPF1	-5.97e-02	2.09e-01
ENSG00000136463	TACO1	-1.01e-01	2.09e-01
ENSG00000138495	COX17	 7.50e-02	2.09e-01
ENSG00000198156	NPIPB6	-2.26e-01	2.09e-01
ENSG00000244509	APOBEC3C	-1.27e-01	2.09e-01
ENSG00000132854	KANK4	-2.76e-01	2.09e-01
ENSG00000182768	NGRN	 5.85e-02	2.09e-01
ENSG00000164904	ALDH7A1	-1.46e-01	2.09e-01
ENSG00000188739	RBM34	 5.14e-02	2.09e-01
ENSG00000137166	FOXP4	 1.13e-01	2.09e-01
ENSG00000100890	KIAA0391	-7.61e-02	2.09e-01
ENSG00000065183	WDR3	-4.73e-02	2.09e-01
ENSG00000134744	ZCCHC11	-6.53e-02	2.09e-01
ENSG00000090382	LYZ	 3.11e-01	2.09e-01
ENSG00000122912	SLC25A16	 4.20e-02	2.10e-01
ENSG00000254692	RP11-468E2.1	 2.87e-01	2.10e-01
ENSG00000198862	LTN1	-4.28e-02	2.10e-01
ENSG00000165113	GKAP1	 7.24e-02	2.10e-01
ENSG00000164008	C1orf50	-7.69e-02	2.10e-01
ENSG00000140961	OSGIN1	-1.70e-01	2.10e-01
ENSG00000162129	CLPB	-5.61e-02	2.10e-01
ENSG00000244187	TMEM141	 8.32e-02	2.10e-01
ENSG00000048392	RRM2B	 5.47e-02	2.10e-01
ENSG00000075223	SEMA3C	 1.55e-01	2.10e-01
ENSG00000131771	PPP1R1B	-6.54e-01	2.10e-01
ENSG00000164604	GPR85	 2.22e-01	2.10e-01
ENSG00000116678	LEPR	-1.77e-01	2.10e-01
ENSG00000007520	TSR3	 6.98e-02	2.10e-01
ENSG00000174282	ZBTB4	 4.81e-02	2.10e-01
ENSG00000156675	RAB11FIP1	 8.75e-02	2.11e-01
ENSG00000230178	OR4F3	-2.82e-01	2.11e-01
ENSG00000284662	OR4F16	-2.82e-01	2.11e-01
ENSG00000284733	OR4F29	-2.82e-01	2.11e-01
ENSG00000117560	FASLG	 3.03e-01	2.11e-01
ENSG00000204149	AGAP6	-1.03e-01	2.11e-01
ENSG00000111328	CDK2AP1	 1.01e-01	2.11e-01
ENSG00000205572	SERF1B	 1.04e-01	2.11e-01
ENSG00000165434	PGM2L1	-1.15e-01	2.11e-01
ENSG00000184110	EIF3C	-1.04e-01	2.11e-01
ENSG00000046653	GPM6B	-1.72e-01	2.11e-01
ENSG00000179915	NRXN1	-2.69e-01	2.11e-01
ENSG00000151304	SRFBP1	 5.16e-02	2.11e-01
ENSG00000095787	WAC	-3.04e-02	2.11e-01
ENSG00000145626	UGT3A1	-2.97e-01	2.11e-01
ENSG00000143549	TPM3	 1.24e-01	2.11e-01
ENSG00000249853	HS3ST5	-2.06e-01	2.11e-01
ENSG00000120910	PPP3CC	 6.65e-02	2.11e-01
ENSG00000171988	JMJD1C	-5.76e-02	2.11e-01
ENSG00000230124	ACBD6	 4.03e-02	2.12e-01
ENSG00000152332	UHMK1	-5.63e-02	2.12e-01
ENSG00000030066	NUP160	-5.04e-02	2.12e-01
ENSG00000010219	DYRK4	 6.48e-02	2.12e-01
ENSG00000118513	MYB	-2.47e-01	2.12e-01
ENSG00000148680	HTR7	 4.23e-01	2.12e-01
ENSG00000177731	FLII	 6.93e-02	2.12e-01
ENSG00000081248	CACNA1S	 6.57e-02	2.12e-01
ENSG00000141526	SLC16A3	 3.92e-01	2.12e-01
ENSG00000134853	PDGFRA	-1.37e-01	2.12e-01
ENSG00000176903	PNMA1	 1.07e-01	2.12e-01
ENSG00000169446	MMGT1	 3.63e-02	2.12e-01
ENSG00000113387	SUB1	 5.11e-02	2.12e-01
ENSG00000115665	SLC5A7	 4.01e-01	2.13e-01
ENSG00000175449	RFESD	-1.27e-01	2.13e-01
ENSG00000170604	IRF2BP1	 7.45e-02	2.13e-01
ENSG00000040608	RTN4R	 2.15e-01	2.13e-01
ENSG00000132464	ENAM	-1.24e-01	2.13e-01
ENSG00000168758	SEMA4C	-8.65e-02	2.13e-01
ENSG00000183166	CALN1	-3.26e-01	2.13e-01
ENSG00000125356	NDUFA1	-7.87e-02	2.13e-01
ENSG00000134007	ADAM20	-1.13e-01	2.13e-01
ENSG00000148488	ST8SIA6	-2.09e-01	2.13e-01
ENSG00000143314	MRPL24	-5.65e-02	2.13e-01
ENSG00000158113	LRRC43	 2.57e-01	2.13e-01
ENSG00000184203	PPP1R2	 8.07e-02	2.13e-01
ENSG00000163631	ALB	 3.07e-01	2.13e-01
ENSG00000128394	APOBEC3F	-1.03e-01	2.13e-01
ENSG00000074201	CLNS1A	 4.62e-02	2.13e-01
ENSG00000111652	COPS7A	 4.41e-02	2.13e-01
ENSG00000127533	F2RL3	 3.78e-01	2.14e-01
ENSG00000261272	MUC22	 4.47e-01	2.14e-01
ENSG00000129925	TMEM8A	 8.46e-02	2.14e-01
ENSG00000163938	GNL3	 6.76e-02	2.14e-01
ENSG00000104888	SLC17A7	-1.46e-01	2.14e-01
ENSG00000074211	PPP2R2C	 3.58e-01	2.14e-01
ENSG00000135902	CHRND	 3.01e-01	2.14e-01
ENSG00000130193	THEM6	 9.39e-02	2.14e-01
ENSG00000137941	TTLL7	 1.68e-01	2.14e-01
ENSG00000188042	ARL4C	 1.83e-01	2.14e-01
ENSG00000145936	KCNMB1	-3.21e-01	2.14e-01
ENSG00000138100	TRIM54	 6.44e-02	2.14e-01
ENSG00000120837	NFYB	 5.27e-02	2.14e-01
ENSG00000147155	EBP	-1.09e-01	2.14e-01
ENSG00000248383	PCDHAC1	 1.70e-01	2.14e-01
ENSG00000139372	TDG	 4.24e-02	2.14e-01
ENSG00000281406	BLACAT1	 3.14e-01	2.14e-01
ENSG00000171206	TRIM8	 7.00e-02	2.14e-01
ENSG00000170160	CCDC144A	-6.80e-01	2.14e-01
ENSG00000112031	MTRF1L	-6.57e-02	2.14e-01
ENSG00000185010	F8	-9.49e-02	2.14e-01
ENSG00000066056	TIE1	-1.15e-01	2.15e-01
ENSG00000117597	DIEXF	-5.24e-02	2.15e-01
ENSG00000130396	MLLT4	-7.81e-02	2.15e-01
ENSG00000084092	NOA1	 5.85e-02	2.15e-01
ENSG00000146373	RNF217	 5.88e-02	2.15e-01
ENSG00000102921	N4BP1	 4.76e-02	2.15e-01
ENSG00000179958	DCTPP1	 9.93e-02	2.15e-01
ENSG00000156219	ART3	 1.53e-01	2.15e-01
ENSG00000175183	CSRP2	-1.52e-01	2.15e-01
ENSG00000133460	SLC2A11	-1.05e-01	2.15e-01
ENSG00000205423	TMEM188	-6.19e-02	2.15e-01
ENSG00000171608	PIK3CD	 9.74e-02	2.15e-01
ENSG00000177885	GRB2	 4.28e-02	2.15e-01
ENSG00000130726	TRIM28	 5.86e-02	2.15e-01
ENSG00000163781	TOPBP1	 4.36e-02	2.15e-01
ENSG00000175899	A2M	-1.06e-01	2.15e-01
ENSG00000138346	DNA2	-1.29e-01	2.15e-01
ENSG00000152457	DCLRE1C	-6.28e-02	2.15e-01
ENSG00000160799	CCDC12	 5.14e-02	2.15e-01
ENSG00000188199	NUTM2B	-2.46e-01	2.16e-01
ENSG00000105538	RASIP1	-1.15e-01	2.16e-01
ENSG00000184905	TCEAL2	-2.79e-01	2.16e-01
ENSG00000105290	APLP1	 2.32e-01	2.16e-01
ENSG00000137273	FOXF2	 1.76e-01	2.16e-01
ENSG00000133216	EPHB2	-2.61e-01	2.16e-01
ENSG00000197965	MPZL1	-7.84e-02	2.16e-01
ENSG00000156411	C14orf2	-9.48e-02	2.16e-01
ENSG00000136878	USP20	 4.34e-02	2.16e-01
ENSG00000205937	RNPS1	 3.54e-02	2.16e-01
ENSG00000137947	GTF2B	 5.90e-02	2.16e-01
ENSG00000142871	CYR61	 2.64e-01	2.16e-01
ENSG00000164830	OXR1	-4.93e-02	2.16e-01
ENSG00000003249	DBNDD1	 2.34e-01	2.16e-01
ENSG00000168899	VAMP5	 1.26e-01	2.16e-01
ENSG00000168811	IL12A	 2.51e-01	2.16e-01
ENSG00000167302	ENTHD2	-5.71e-02	2.16e-01
